04-15-2019 18:38:26.451835,FALSE,1,200
04-15-2019 18:38:37.086957,FALSE,2,200
04-15-2019 18:38:48.022091,FALSE,1,200
04-15-2019 19:05:57.102190,FALSE,3,200
04-15-2019 19:06:07.072234,FALSE,1,200
04-15-2019 19:06:16.110169,FALSE,3,200
04-15-2019 19:06:25.347759,FALSE,3,200
04-15-2019 19:06:34.483359,FALSE,3,200
04-15-2019 19:06:43.822308,FALSE,1,200
04-15-2019 19:26:59.772379,FALSE,1,200
04-15-2019 19:27:13.940923,FALSE,1,200
04-15-2019 19:27:22.909158,FALSE,1,200
04-15-2019 19:44:36.100186,FALSE,2,200
04-15-2019 19:44:48.203716,FALSE,2,200
04-15-2019 19:44:57.639938,FALSE,2,200
04-15-2019 19:45:07.043577,FALSE,2,200
04-15-2019 19:45:16.137529,FALSE,2,200
04-15-2019 19:46:10.504219,FALSE,3,200
04-15-2019 19:46:19.641003,FALSE,3,200
04-15-2019 19:46:28.816215,FALSE,1,200
04-15-2019 19:47:34.708084,FALSE,3,200
04-15-2019 19:48:07.770572,FALSE,3,200
04-15-2019 19:48:17.609619,FALSE,2,200
04-15-2019 19:48:37.576208,FALSE,1,200
04-15-2019 19:48:54.746516,FALSE,2,200
04-15-2019 19:49:28.443810,FALSE,1,200
04-15-2019 19:50:43.425716,FALSE,2,200
04-15-2019 19:54:39.746703,FALSE,2,200
04-15-2019 19:54:50.082317,FALSE,2,200
04-15-2019 19:54:59.919959,FALSE,3,200
04-15-2019 19:55:11.257579,FALSE,2,200
